RepRapFirmware height map file v2 generated at 2022-04-22 10:10, min error -0.570, max error 0.064, mean -0.161, deviation 0.224
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
-180.00,180.00,-45.00,45.00,-1.00,90.00,90.00,5,2
 -0.514, -0.261, -0.047,  0.034,  0.000
 -0.570, -0.294, -0.064,  0.045,  0.064
